chainname,dt,total_visitpd
Popeyes Louisiana Kitchen,2019-07-22,16546
Chick-fil-A,2019-07-22,66994
Popeyes Louisiana Kitchen,2019-07-23,17408
Chick-fil-A,2019-07-23,73835
Popeyes Louisiana Kitchen,2019-07-24,17240
Chick-fil-A,2019-07-24,75996
Chick-fil-A,2019-07-25,80542
Popeyes Louisiana Kitchen,2019-07-25,17540
Popeyes Louisiana Kitchen,2019-07-26,19097
Chick-fil-A,2019-07-26,87801
Popeyes Louisiana Kitchen,2019-07-27,17438
Chick-fil-A,2019-07-27,82809
Popeyes Louisiana Kitchen,2019-07-28,16655
Chick-fil-A,2019-07-28,16154
Popeyes Louisiana Kitchen,2019-07-29,16374
Chick-fil-A,2019-07-29,67001
Popeyes Louisiana Kitchen,2019-07-30,18007
Chick-fil-A,2019-07-30,75342
Popeyes Louisiana Kitchen,2019-07-31,18353
Chick-fil-A,2019-07-31,78536
Popeyes Louisiana Kitchen,2019-08-01,19131
Chick-fil-A,2019-08-01,82387
Popeyes Louisiana Kitchen,2019-08-02,20528
Chick-fil-A,2019-08-02,90970
Popeyes Louisiana Kitchen,2019-08-03,19472
Chick-fil-A,2019-08-03,88977
Popeyes Louisiana Kitchen,2019-08-04,17599
Chick-fil-A,2019-08-04,16523
Chick-fil-A,2019-08-05,68104
Popeyes Louisiana Kitchen,2019-08-05,17290
Popeyes Louisiana Kitchen,2019-08-06,18521
Chick-fil-A,2019-08-06,75710
Popeyes Louisiana Kitchen,2019-08-07,18234
Chick-fil-A,2019-08-07,77845
Popeyes Louisiana Kitchen,2019-08-08,18582
Chick-fil-A,2019-08-08,81634
Chick-fil-A,2019-08-09,88641
Popeyes Louisiana Kitchen,2019-08-09,19711
Chick-fil-A,2019-08-10,87181
Popeyes Louisiana Kitchen,2019-08-10,19042
Chick-fil-A,2019-08-11,16395
Popeyes Louisiana Kitchen,2019-08-11,17528
Popeyes Louisiana Kitchen,2019-08-12,16574
Chick-fil-A,2019-08-12,68765
Popeyes Louisiana Kitchen,2019-08-13,18067
Chick-fil-A,2019-08-13,76999
Popeyes Louisiana Kitchen,2019-08-14,17704
Chick-fil-A,2019-08-14,78182
Chick-fil-A,2019-08-15,82848
Popeyes Louisiana Kitchen,2019-08-15,18810
Popeyes Louisiana Kitchen,2019-08-16,20645
Chick-fil-A,2019-08-16,91071
Chick-fil-A,2019-08-17,92169
Popeyes Louisiana Kitchen,2019-08-17,19673
Popeyes Louisiana Kitchen,2019-08-18,18326
Chick-fil-A,2019-08-18,17109
Popeyes Louisiana Kitchen,2019-08-19,18699
Chick-fil-A,2019-08-19,67900
Chick-fil-A,2019-08-20,76064
Popeyes Louisiana Kitchen,2019-08-20,25197
Popeyes Louisiana Kitchen,2019-08-21,28498
Chick-fil-A,2019-08-21,78576
Popeyes Louisiana Kitchen,2019-08-22,31537
Chick-fil-A,2019-08-22,85056
Popeyes Louisiana Kitchen,2019-08-23,35714
Chick-fil-A,2019-08-23,95034
Chick-fil-A,2019-08-24,96480
Popeyes Louisiana Kitchen,2019-08-24,35180
Popeyes Louisiana Kitchen,2019-08-25,31232
Chick-fil-A,2019-08-25,17588
Chick-fil-A,2019-08-26,70157
Popeyes Louisiana Kitchen,2019-08-26,29232
Chick-fil-A,2019-08-27,78796
Popeyes Louisiana Kitchen,2019-08-27,29756
Popeyes Louisiana Kitchen,2019-08-28,25896
Chick-fil-A,2019-08-28,82369
Chick-fil-A,2019-08-29,88694
Popeyes Louisiana Kitchen,2019-08-29,24792
Chick-fil-A,2019-08-30,103481
Popeyes Louisiana Kitchen,2019-08-30,27851
Chick-fil-A,2019-08-31,95662
Popeyes Louisiana Kitchen,2019-08-31,24346
Popeyes Louisiana Kitchen,2019-09-01,21064
Chick-fil-A,2019-09-01,17250
Popeyes Louisiana Kitchen,2019-09-02,17727
Chick-fil-A,2019-09-02,58025
Popeyes Louisiana Kitchen,2019-09-03,20000
Chick-fil-A,2019-09-03,69780
Chick-fil-A,2019-09-04,77698
Popeyes Louisiana Kitchen,2019-09-04,20054
Popeyes Louisiana Kitchen,2019-09-05,20138
Chick-fil-A,2019-09-05,81055
Popeyes Louisiana Kitchen,2019-09-06,21220
Chick-fil-A,2019-09-06,89336
Popeyes Louisiana Kitchen,2019-09-07,20186
Chick-fil-A,2019-09-07,93631
Popeyes Louisiana Kitchen,2019-09-08,17997
Chick-fil-A,2019-09-08,16893
Popeyes Louisiana Kitchen,2019-09-09,17239
Chick-fil-A,2019-09-09,65228
Popeyes Louisiana Kitchen,2019-09-10,18308
Chick-fil-A,2019-09-10,74307
Chick-fil-A,2019-09-11,77340
Popeyes Louisiana Kitchen,2019-09-11,18254
Chick-fil-A,2019-09-12,81091
Popeyes Louisiana Kitchen,2019-09-12,18584
Popeyes Louisiana Kitchen,2019-09-13,20301
Chick-fil-A,2019-09-13,93292
Chick-fil-A,2019-09-14,95436
Popeyes Louisiana Kitchen,2019-09-14,19493
Chick-fil-A,2019-09-15,16716
Popeyes Louisiana Kitchen,2019-09-15,17533
