dt,gender,age,chainname,number_visit
2015-07-01,male,55_64,Chick-fil-A,173
2015-07-01,female,65_plus,Popeyes Louisiana Kitchen,16
2015-07-01,male,45_54,Chick-fil-A,541
2015-07-01,male,45_54,Popeyes Louisiana Kitchen,135
2015-07-01,male,55_64,Popeyes Louisiana Kitchen,46
2015-07-01,female,25_34,Chick-fil-A,817
2015-07-01,male,35_44,Popeyes Louisiana Kitchen,257
2015-07-01,male,35_44,Chick-fil-A,955
2015-07-01,female,18_24,Popeyes Louisiana Kitchen,23
2015-07-01,male,Under_18,Chick-fil-A,4
2015-07-01,female,25_34,Popeyes Louisiana Kitchen,208
2015-07-01,female,55_64,Chick-fil-A,186
2015-07-01,male,18_24,Popeyes Louisiana Kitchen,34
2015-07-01,male,18_24,Chick-fil-A,134
2015-07-01,male,25_34,Popeyes Louisiana Kitchen,276
2015-07-01,female,Under_18,Chick-fil-A,6
2015-07-01,female,35_44,Popeyes Louisiana Kitchen,145
2015-07-01,male,65_plus,Popeyes Louisiana Kitchen,16
2015-07-01,female,55_64,Popeyes Louisiana Kitchen,38
2015-07-01,female,45_54,Popeyes Louisiana Kitchen,80
2015-07-01,female,35_44,Chick-fil-A,620
2015-07-01,female,65_plus,Chick-fil-A,69
2015-07-01,male,25_34,Chick-fil-A,793
2015-07-01,male,65_plus,Chick-fil-A,70
2015-07-01,female,18_24,Chick-fil-A,160
2015-07-01,female,45_54,Chick-fil-A,380
2015-07-02,male,65_plus,Chick-fil-A,90
2015-07-02,female,45_54,Popeyes Louisiana Kitchen,102
2015-07-02,female,18_24,Chick-fil-A,194
2015-07-02,female,25_34,Chick-fil-A,1005
2015-07-02,male,25_34,Popeyes Louisiana Kitchen,284
2015-07-02,female,65_plus,Popeyes Louisiana Kitchen,18
2015-07-02,male,18_24,Chick-fil-A,141
2015-07-02,female,Under_18,Chick-fil-A,5
2015-07-02,female,35_44,Popeyes Louisiana Kitchen,140
2015-07-02,male,45_54,Popeyes Louisiana Kitchen,152
2015-07-02,male,45_54,Chick-fil-A,589
2015-07-02,male,55_64,Chick-fil-A,196
2015-07-02,male,65_plus,Popeyes Louisiana Kitchen,24
2015-07-02,female,35_44,Chick-fil-A,780
2015-07-02,female,45_54,Chick-fil-A,448
2015-07-02,male,35_44,Popeyes Louisiana Kitchen,267
2015-07-02,male,Under_18,Chick-fil-A,6
2015-07-02,male,18_24,Popeyes Louisiana Kitchen,31
2015-07-02,male,55_64,Popeyes Louisiana Kitchen,60
